"station","date","lat","lon","NO23","uni"
"21FLMANA_WQX-456","1995-11-20",27.5322916,-82.6884444,0.02,"mg/L"
"21FLMANA_WQX-386","1995-11-27",27.6059861,-82.6011666,0.011,"mg/L"
"21FLMANA_WQX-460","1995-11-20",27.5167083,-82.6853166,0.013,"mg/L"
"21FLMANA_WQX-435","1995-11-27",27.533,-82.6668333,0.011,"mg/L"
"21FLMANA_WQX-361","1995-11-27",27.6285166,-82.5919333,0.02,"mg/L"
"21FLMANA_WQX-464","1995-12-19",27.4960361,-82.6954416,0.01,"mg/L"
"21FLMANA_WQX-421","1995-11-27",27.5765083,-82.6524944,0.041,"mg/L"
"21FLMANA_WQX-202","1995-11-27",27.6665361,-82.5590666,0.025,"mg/L"
"21FLMANA_WQX-336","1995-12-28",27.6474222,-82.5651611,0.01,"mg/L"
"21FLMANA_WQX-432","1995-11-27",27.5431,-82.6445527,0.034,"mg/L"
"21FLMANA_WQX-395","1995-12-28",27.5508861,-82.5730722,0.032,"mg/L"
"21FLMANA_WQX-430","1995-12-28",27.5273305,-82.6095805,0.018,"mg/L"
"21FLMANA_WQX-422","1995-12-28",27.5574833,-82.6332166,0.025,"mg/L"
"21FLMANA_WQX-405","1995-12-28",27.5526666,-82.5706666,0.023,"mg/L"
"21FLMANA_WQX-336","1996-09-09",27.6474222,-82.5651611,0.011,"mg/L"
"21FLMANA_WQX-459","1996-09-10",27.5288277,-82.7036111,0.01,"mg/L"
"21FLMANA_WQX-405","1996-10-22",27.5526666,-82.5706666,0.006,"mg/L"
"21FLMANA_WQX-336","1996-03-20",27.6474222,-82.5651611,0.028,"mg/L"
"21FLMANA_WQX-464","1996-10-21",27.4960361,-82.6954416,0.006,"mg/L"
"21FLMANA_WQX-396","1996-04-23",27.5910583,-82.6217555,0.01,"mg/L"
"21FLMANA_WQX-202","1996-05-06",27.6665361,-82.5590666,0.006,"mg/L"
"21FLMANA_WQX-408","1996-04-23",27.5478333,-82.5991666,0.019,"mg/L"
"21FLMANA_WQX-455","1996-04-22",27.535,-82.7313333,0.019,"mg/L"
"21FLMANA_WQX-459","1996-04-22",27.5288277,-82.7036111,0.118,"mg/L"
"21FLMANA_WQX-408","1996-01-17",27.5478333,-82.5991666,0.013,"mg/L"
"21FLMANA_WQX-464","1996-06-11",27.4960361,-82.6954416,0.038,"mg/L"
"21FLMANA_WQX-452","1996-06-11",27.5412777,-82.7170555,0.036,"mg/L"
"21FLMANA_WQX-460","1996-11-04",27.5167083,-82.6853166,0.01,"mg/L"
"21FLMANA_WQX-365","1996-04-23",27.6124472,-82.60665,0.034,"mg/L"
"21FLMANA_WQX-430","1996-06-10",27.5273305,-82.6095805,0.023,"mg/L"
"21FLMANA_WQX-456","1996-05-07",27.5322916,-82.6884444,0.01,"mg/L"
"21FLMANA_WQX-422","1996-09-09",27.5574833,-82.6332166,0.01,"mg/L"
